epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,841.517,0.67944,0.90103,0.90226,0.86578,0.77778,0.85292,0.56534,1.20382,1.76223,1.52005,0.000317,0.000317,0.000317
70,852.57,0.61488,0.79685,0.8997,0.86578,0.77778,0.85292,0.56534,1.20382,1.76223,1.52005,0.00029225,0.00029225,0.00029225
71,861.487,0.57074,1.01342,0.86664,0.87485,0.77684,0.85362,0.55894,1.21334,1.7824,1.53917,0.0002675,0.0002675,0.0002675
72,870.008,0.54794,0.95394,0.81955,0.87485,0.77684,0.85362,0.55894,1.21334,1.7824,1.53917,0.00024275,0.00024275,0.00024275
73,878.367,0.60261,0.98835,0.88422,0.87381,0.77035,0.8453,0.54758,1.26776,1.77155,1.63173,0.000218,0.000218,0.000218
74,886.582,0.61246,1.01012,0.82981,0.87381,0.77035,0.8453,0.54758,1.26776,1.77155,1.63173,0.00019325,0.00019325,0.00019325
75,894.785,0.5325,0.88938,0.81964,0.87202,0.75924,0.84597,0.54759,1.29999,1.89586,1.63529,0.0001685,0.0001685,0.0001685
76,903.008,0.60824,1.07455,0.87354,0.87202,0.75924,0.84597,0.54759,1.29999,1.89586,1.63529,0.00014375,0.00014375,0.00014375
77,911.245,0.52336,0.94908,0.84328,0.86992,0.74615,0.8423,0.54731,1.30207,1.90044,1.63838,0.000119,0.000119,0.000119
78,919.319,0.48568,0.88809,0.80262,0.86992,0.74615,0.8423,0.54731,1.30207,1.90044,1.63838,9.425e-05,9.425e-05,9.425e-05
79,927.297,0.58367,1.01997,0.84799,0.98826,0.66667,0.83927,0.54833,1.29989,1.87017,1.62281,6.95e-05,6.95e-05,6.95e-05
80,935.355,0.66945,1.00984,0.81768,0.98826,0.66667,0.83927,0.54833,1.29989,1.87017,1.62281,4.475e-05,4.475e-05,4.475e-05
